Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	Absolute score
TCGA.21.1079.01A.01R.0690.01	0	0.0032014521740575774	0.05683246698106235	0	0.008877176485136723	0.02472453066259211	0.0012953403874560669	0.007629106483129739	0	0.0161035409815649	0	0.018701213506557606	0	0.09450007411230688	0.01391002960182898	0.0683032858957483	0.009949656547030583	0.009978513937519917	0	0.020928831072544698	0	0.004802345678807815	0	0.46005125512901546	0.35973756450734423
TCGA.21.1080.01A.01R.0690.01	0	0.04326031063775948	0.057407367919019806	0.025785601505447658	0	0.0004	0.041029309893998604	0.02738732684214354	0	0.04732518595372659	0	0.005190734772787182	0	0.010209598376334403	0.021445822917170176	0.04926320919506901	0.0076409921032986805	0.017242624333839256	0.021656299551511344	0	0	0.0011114970829369207	0	0.3878391415923767	0.37633602076715217
TCGA.21.1081.01A.01R.0690.01	0	0.020119029380818897	0.07287867784317552	0.015538945495150475	0	0.029779876783254645	0	0.01172606645401271	0.0023142874635078167	0	0.02084313469700544	0	0.0032670638640116237	0.03441158477090521	0.00635835392438648	0.06427117829934513	0	0.008823335208456651	0	0.03237773394785504	0	0.021771896862931597	0	0.46797754623083254	0.34448116499481723
TCGA.21.1082.01A.01R.0690.01	0	0.03773481096623534	0.12427556195355187	0.0004	0.005099517548413201	0.013490888464926213	0.011881438638905912	0.022333793887280608	0	0.026250612383694197	0	0.0069894674259050925	0	0.04149791995298968	0.022334515715565127	0.032564786667357536	0.0024284018868799243	0.027911902097099397	0.031687389646880046	0	0	0.0008	0	0.663418940618686	0.4077231501802382
TCGA.21.1083.01A.01R.0690.01	0	0.04053883215899269	0.0644597980481307	0.002620460573389776	0.004818851341745241	0	0.05712517120804475	0.025947559756124297	0	0.025517174618053494	0.0026794612271459992	0.006216698932983794	0	0.018334986867484804	0.05083622769822555	0.06671157812478173	0.007944319254028465	0.014911394950002082	0	0.011637744956648082	0	0.004572128966729082	0	0.45397477206634623	0.4048723886825106
TCGA.22.0940.01A.01R.0690.01	0.014192626341199744	0	0.06692086646393232	0	0.01073622114507479	0.0003	0.07413682792432255	0.0393231379341183	0	0.052339729649515866	0	0.033103670057533265	0	0.006440701825124249	0.036806746666413204	0.05542020825679976	0.02458560184734076	0.009639305127102132	0.020812289913786405	0	0	0.0024575946510299626	0	0.5351434451619846	0.4471932767798875
TCGA.22.0944.01A.01R.0690.01	0.006701212323749377	0	0.1334262824883277	0.011666096226595257	0.006259329843516075	0	0.0004	0.008850919759074418	0.006759317217877647	0	0.0100576265737965	0	0	0.07084836287816985	0.010785818093181174	0.033787358590093984	0	0.024112368253209723	0	0.03365834692764998	0	0	0	0.42439261271772616	0.3572667495393884
TCGA.22.1000.01A.01R.0690.01	0	0.026120934170015986	0.07807758861521379	0	0	0.008213933510670172	0.019901373833485336	0.015149566855702224	0.0012774915466073498	0.05461090479981571	0	0.004567138585838276	0	0.08749487151597063	0.017852190926421534	0.08263789985362671	0.03167063507364907	0.0012495838642658157	0.0426053950298851	0	0	0.006870917203156172	0	0.5501074014091479	0.4783004253843239
TCGA.22.1002.01A.01R.0690.01	0.003935465483184216	0.02938491568167944	0.06787651989299495	0	0	0.020514418323183247	0.008853117880881793	0.020988501497450802	0	0.0526579978667072	0	0.011498632070519129	0	0.014470376254773723	0.022284079671431332	0.08048623097025713	0.008771089102850462	0.018161362813428172	0.028607998832140796	0.008667691459410319	0	0.030652457310103163	0	0.2937198556143678	0.42781085511099587
TCGA.22.1005.01A.01R.0690.01	0	0.0350124921587333	0.2033378186484085	0.021965116278873317	0.0036435046253841985	0.010266744970752247	0.04273309963084527	0.003331023261881581	0	0.04334337708685833	0	0.011977775113922243	0	0.029463720231128056	0.03661966816583038	0.025497125747038114	0.004168519566438359	0.005177175582347415	0.03039589439722129	0	0	0.005578413053814536	0	0.7572383340260641	0.5125114685194772
TCGA.22.1011.01A.01R.0690.01	0	0.03875853247867586	0.19220005056874925	0	0.0015417935675197951	0.02731916417597211	0.02423490429238554	0.015161729518822697	0	0.02581926975459717	0.0005	0	0	0.024755156410985996	0.026208242492895134	0.02716414486169143	0.0042854089802979506	0.004505696022317815	0.008577992283981284	0.022575488253633712	0	0.004467548130650975	0	0.7028602768418094	0.4480729007721203
TCGA.22.1012.01A.01R.0690.01	0	0.04271683259919352	0.03535908746545864	0.018370532942150426	0	0.02331271150211454	0.01062164353003897	0.02476567892384353	0	0.02791598178271534	0.0015358965749189748	0	0	0.10794398435455482	0.04313536814213868	0.03540857999185936	0	0.009758758125110602	0	0.02707092510949641	0	0.005199730971828104	0	0.4697454724803446	0.4131157120154219
TCGA.22.1016.01A.01R.0690.01	0	0.010991465392381744	0.03413974851957244	0	0	0.05581506328541136	0.008958805998106462	0.015827827883031827	0	0.004469255651473564	0	0.011173385388543879	0.013097927304467518	0.0704012905770312	0.0036148535883828727	0.06116885889417519	0.006600562899438037	0.053495209082157685	0.04899960854953895	0	0	0.035286297394641876	0	0.36037995185955024	0.43404016040835464
TCGA.22.1017.01A.01R.0690.01	0	0.04047324387149661	0.06813645885176708	0	0	0.02782187494120119	0.02665446774637272	0.029575027722536607	0	0.03875700461618194	0	0.020468720727467943	0	0.03230884643911918	0.016392587793217762	0.05001027722349329	0.01141196624354909	0.013744598279828416	0.05605082535842715	0	0	0.007221855617855719	0	0.38100703157227883	0.4390277554325147
TCGA.22.4591.01A.01R.1199.01	0	0.012125329616065786	0.0444061977474349	0.018381445260974127	0.0023053587626703028	0	0.0019063680187469353	0.01804542037570763	0	0.025556734632445885	0	0.02930314996490739	0.0019281469993364976	0.021549687597623775	0.04586291284205354	0.09515467004384773	0.017565524088277135	0.0014724741857290449	0.0386991801132302	0	0	0.0009	0	0.34744640735982335	0.37513993336375767
TCGA.22.4594.01A.01R.1199.01	0.006494076979239944	0.010702200141103	0.2315460779941324	0	0	0.02480019195555787	0.02198036434250861	0.00902138387358359	0	0.0424297990014174	0	0	0	0.04238070107122627	0.030017178491107858	0.03275082390274542	0.016377109777128935	0.0001	0.01050351140667252	0	0	0.010038710962891304	0	0.6118129706453213	0.4891876475514366
TCGA.22.4595.01A.01R.1199.01	0	0.04433154284790511	0.10226500508181009	0	0.010692733915547821	0.022687120889365368	0.012488607117719604	0.014287763100136975	0	0.03884568445424573	0	0.02113165230155535	0	0.036366474430521864	0.03509490682470567	0.03827145329509836	0.018642613276381496	0.007967374982584227	0.038845862002834255	0	0	0.020513897035376597	0	0.5882753838615496	0.46243269155578853
TCGA.22.4596.01A.01R.1199.01	0.004451205607641517	0.008475797590399282	0.0630927348904762	0	0.004971141124009041	0.06389900933907706	0.036164669241528356	0.02723732522971625	0	0.06024465705342968	0	0	0	0.07097549407917404	0.06047871398786844	0.07480357229628935	0.07571829987076634	0.009103611713854978	0.08896448333441058	0	0	0.018712810574711646	0	0.45803783603891396	0.6672935259333528
TCGA.22.4604.01A.01R.1199.01	0	0.01677461324879971	0.06258638576515606	0	0.0023769012291030385	0.005892437003786003	0.018040834649580968	0.024540901946452014	0	0.0403251907397226	0	0.0001	0	0.07445822994821193	0.04505021555431958	0.061701233370203674	0.007649611545765049	0	0	0.061400988824024845	0	0.007555568609223966	0	0.5324583703399481	0.42846807884384674
TCGA.22.4607.01A.01R.1199.01	0	0	0.0994841256692845	0	0	0	0.009799120490722494	0.008638791733623878	0	0.04051205664911911	0	0	0	0.08279750847898207	0.019348961278357685	0.054770123810885994	0.007902972976826935	0.015503784357708737	0.00907480467661461	0.020852111648742528	0.005858810240065762	0.023719545956292318	0	0.5480754636197771	0.3982627179672266
