NAME	Jurkat	IM-9	Raji	THP-1
205382_s_at	408.0978266	12.87032518	14.24511379	6767.642277
205403_at	16.52699732	38.41452524	2163.447344	22.99666539
205453_at	34.6873054	839.2353012	20.99315677	32.43440949
205456_at	3975.583269	96.62525907	82.07301595	33.51356263
205476_at	6.374033465	611.2455299	10.745739	13.47055856
205498_at	39.64057748	4258.793985	33.45426547	159.5238382
205544_s_at	17.54791716	8908.781626	8901.153905	152.7554168
205569_at	638.9411392	2751.956081	19.54998756	76.09472318
205573_s_at	4.705811764	39.0419502	3.357417536	898.0787908
205612_at	5.402070782	1195.372026	24.74992121	17.42636358
205671_s_at	71.96364436	262.7966664	2568.147334	41.00739771
205681_at	56.1437151	10850.22465	4397.53661	220.4131156
205692_s_at	103.9315617	20.88971769	5195.811398	2963.935723
205715_at	137.8996206	5.877045103	11.42460757	2327.538689
205801_s_at	14.52833294	313.7819651	2760.579808	46.82803174
205848_at	1353.502444	180.4743345	31.50085028	6.982687591
205861_at	114.5222904	365.846877	8875.557487	406.9452088
205890_s_at	10.30695807	4917.563148	14.38562536	12.87964372
205902_at	7.192984107	7.816146035	895.5153733	6.851339405
205903_s_at	5.972639536	9.41666101	1770.06766	10.77090523
205922_at	6.51332865	179.1477394	1160.181079	6.386037828
205945_at	10.20250778	47.91819351	20.01796707	6494.115448
205997_at	8.192589266	7.303741121	406.9812045	5.428113893
206023_at	4.364641618	7.908152239	5229.860376	28.62618565
206045_s_at	5.388231303	467.0894256	3.347354819	11.57410309
206070_s_at	3121.2169	598.3954587	3.276137805	22.06669608
206082_at	9.002224714	1326.990945	284.2652798	35.81723714
206100_at	26.12898345	5.653078205	6.441610752	1926.190894
206111_at	105.2047637	141.7147279	60.99718137	24265.36659
206120_at	11.99178905	27.80027826	20.95318415	1292.580399
206126_at	8.679582664	15.58372525	1051.07627	38.21056278
206150_at	104.7514347	138.5276622	9349.788029	106.4405119
206206_at	28.77435545	48.66542134	1790.855478	57.11449909
