"gene","GSM1587845_Normal_tonsil_B_cells_1.CEL.gz","GSM1587846_Normal_tonsil_B_cells_3.CEL.gz","GSM1587847_Normal_tonsil_B_cells_4.CEL.gz","GSM1587848_Normal_tonsil_B_cells_5.CEL.gz","GSM1587849_Normal_tonsil_B_cells_6.CEL.gz","GSM1587850_Normal_tonsil_T_cells_1.CEL.gz","GSM1587851_Normal_tonsil_T_cells_3.CEL.gz","GSM1587852_Normal_tonsil_T_cells_4.CEL.gz","GSM1587853_Normal_tonsil_T_cells_5.CEL.gz","GSM1587854_Normal_tonsil_T_cells_6.CEL.gz"
"SAMD3",66.5360250021904,20.6072292864419,13.8788836171022,66.6439604496529,83.1728646581734,1229.29248161087,1499.51942305368,779.059623762166,880.165512933109,1305.60571611023
"LINC01312",36.7590857988995,28.530248939958,52.3947521315563,33.9092703422725,11.4325609148789,122.027771815001,59.4680716993483,35.414806773563,46.0072800295288,38.4301812805068
"SLC2A12",12.1646346663218,9.5671677437239,46.2688634662362,60.134766946294,9.99287311250837,4.69688222631903,11.9884940435955,7.4350799699295,8.89174412721788,36.7955577452836
"LINC01010",3.60173500900768,3.75510975212524,5.42676156350864,8.62671687747675,5.07060131559366,26.9571122023182,3.03280049105919,5.25337170248424,4.18236346123752,4.13510154783777
"MBOAT1",56.5887279956265,193.632949354714,26.584178033372,2.52911132979489,60.3529961820923,827.798682417961,776.578120878671,1255.52879629157,808.806684670091,544.016828418225
"PNLDC1",52.3689389453587,42.6951236265883,54.1244473583038,31.4588572796102,7.72817454450466,35.7073539327627,95.2363110452283,2.00743107573113,39.1753024538578,65.8081297335232
"RNF217",29.901340861358,30.3340584485673,49.3232057292827,5.62807647432968,42.096171610536,13.5798983994906,38.2223910626994,7.01580807697522,35.5811312318285,30.0278322601093
"NKAIN2",14.4806392571092,4.18086445855418,20.1425992185179,35.0243895403248,5.31751806736037,12.7434668177591,1.53386782138655,2.96246434388131,22.5202852199263,2.81607806585475
"KHDC3L",12.7185871327795,67.7609447207471,45.175061876073,40.4608282999483,39.6224027447636,2.95886981169109,51.0303810578368,8.87140692100682,66.2895470737977,65.8486071800832
"CYP1A1",3.93200613336138,44.9990760734259,13.4954856788214,21.1368282444318,10.7405690005515,28.6747019483036,2.32695883973827,11.4777948891425,2.49129048201121,9.16014192223269
"CFAP206",6.98789728519223,4.87152089235872,6.78114668121124,33.8868144631964,34.197151479588,115.167358288374,12.3532324223994,16.6242856632935,11.6675107194692,7.84601663995374
"CYP1A2",15.0100618500054,81.5513022097514,4.24322060738646,65.2721654495602,9.28081561482315,29.4677167118401,19.7859862973077,85.9962996054738,26.2207652795088,93.4427910650165
"BVES-AS1",3.90179601050512,2.8273219848961,32.7934104521831,33.4424227288539,1.99021922351463,12.456758866886,1.23781735126802,3.49614864930714,1.1656656461772,2.45438497929364
"CCDC167",2306.42388535809,743.204933043392,2247.42749899157,4909.86519829856,1280.07096745257,1621.15955261353,1589.02232220876,1881.32848309538,2296.37457905528,1354.51530180597
"CYP1B1",9.08705120377209,5.13224231653999,6.47529915686777,5.32653213592166,13.5071186412098,6.88718336599821,32.4486484733878,6.77913391536276,21.0321627228137,7.77762172936617
"RUNDC3B",9.23053182732184,17.0200491795511,14.5840709424541,15.7142017783624,33.3533479464037,25.0081878083387,43.9976991673169,6.05120782802899,40.9432506231324,35.212561069436
